post_id,author_id,author_username,author_followers,author_account_age_days,has_media,views,likes,retweets,replies,bookmarks,quotes,content_type,ai_generated,lang,engagement_total,engagement_rate,hashtags,created_at,ai_confidence,detection_method
control_000349,user_6809,user_93928,1144,1673,True,5879,268,52,56,76,27,control,False,en,403,0.0685490729715938,photography,2025-02-06,1.0,pre_labeled
control_000556,user_8838,user_65903,424,1571,True,3874,286,74,8,36,14,control,False,en,382,0.0986060918946825,"artistsontwitter,portrait,digitalart",2025-01-04,1.0,pre_labeled
treatment_000450,user_9641,user_31771,414,1475,True,6690,202,99,44,96,19,treatment,True,en,364,0.0544095665171898,"SyntheticMedia,AIArt",2025-02-24,1.0,pre_labeled
treatment_000058,user_7689,user_70221,321,1640,True,9906,778,105,96,113,16,treatment,True,en,995,0.1004441752473248,"AIGenerated,AIGenerated",2025-03-26,1.0,pre_labeled
treatment_000495,user_4712,user_56316,429,1979,True,7622,428,122,30,86,36,treatment,True,en,616,0.0808186827604303,"GrokImage,GrokImage,AIArt",2025-04-01,1.0,pre_labeled
control_000404,user_7715,user_15055,266,389,True,2647,123,28,9,22,5,control,False,en,165,0.062334718549301,"digitalart,photography",2025-04-03,1.0,pre_labeled
control_000729,user_3991,user_24210,333,918,True,5807,300,29,35,75,24,control,False,en,388,0.0668159118305493,"artistsontwitter,photography,photography",2025-03-07,1.0,pre_labeled
control_000511,user_1382,user_31743,179,1944,True,4906,107,25,30,16,14,control,False,en,176,0.0358744394618834,"photography,photography,photography",2025-01-29,1.0,pre_labeled
control_000633,user_1681,user_82674,653,1053,True,4255,239,60,9,56,7,control,False,en,315,0.0740305522914218,digitalart,2025-04-27,1.0,pre_labeled
treatment_000649,user_8636,user_19270,119,1039,True,14423,392,184,135,86,41,treatment,True,en,752,0.0521389447410386,"AIArt,AIGenerated",2025-02-08,1.0,pre_labeled
control_000009,user_8382,user_14641,729,1222,False,4373,319,65,38,61,16,control,False,en,438,0.1001600731763091,portrait,2025-04-02,1.0,pre_labeled
control_000487,user_3532,user_19878,281,977,True,8154,637,155,72,111,22,control,False,en,886,0.1086583272013735,digitalart,2025-03-21,1.0,pre_labeled
treatment_000427,user_8236,user_98611,732,1519,True,13751,1086,169,131,199,18,treatment,True,en,1404,0.1021016653334302,"GrokImage,GrokAI",2025-04-18,1.0,pre_labeled
control_000389,user_1407,user_17027,542,979,True,4734,159,71,16,40,18,control,False,en,264,0.0557667934093789,portrait,2025-04-09,1.0,pre_labeled
treatment_000292,user_9583,user_85864,464,572,True,17827,707,165,50,127,39,treatment,True,en,961,0.0539069950075727,GrokImage,2025-02-24,1.0,pre_labeled
treatment_000552,user_8453,user_54621,508,199,True,9775,405,172,73,126,22,treatment,True,en,672,0.0687468030690537,"GrokImage,AIArt,SyntheticMedia",2025-02-11,1.0,pre_labeled
control_000428,user_9615,user_38033,1027,1333,True,5594,435,87,13,75,12,control,False,en,547,0.0977833392920986,"photography,digitalart",2025-03-13,1.0,pre_labeled
control_000123,user_6654,user_23840,195,1710,True,6314,192,108,15,63,14,control,False,en,329,0.0521064301552106,"digitalart,digitalart",2025-01-28,1.0,pre_labeled
control_000331,user_7126,user_28306,457,1412,True,4602,221,83,39,57,5,control,False,en,348,0.075619295958279,"photography,artistsontwitter",2025-02-15,1.0,pre_labeled
treatment_000233,user_7825,user_38250,156,132,True,12051,731,86,44,99,20,treatment,True,en,881,0.0731059663098498,"AIGenerated,AIGenerated",2025-01-07,1.0,pre_labeled
treatment_000788,user_5900,user_87568,431,1554,True,11447,288,169,24,133,49,treatment,True,en,530,0.0463003407006202,"AIArt,GrokImage",2025-01-27,1.0,pre_labeled
treatment_000196,user_4082,user_57373,937,517,True,7334,568,143,73,91,12,treatment,True,en,796,0.1085355876738478,AIArt,2025-04-06,1.0,pre_labeled
control_000493,user_8599,user_23764,359,1651,True,5560,197,55,41,65,22,control,False,en,315,0.0566546762589928,"portrait,photography,portrait",2025-04-06,1.0,pre_labeled
control_000541,user_3999,user_99709,589,1551,True,1851,99,18,14,22,3,control,False,en,134,0.0723933009184224,"photography,artistsontwitter",2025-01-15,1.0,pre_labeled
treatment_000081,user_4933,user_86600,416,168,True,9257,434,89,33,45,38,treatment,True,en,594,0.0641676569082856,"SyntheticMedia,AIGenerated",2025-02-05,1.0,pre_labeled
control_000696,user_1764,user_95240,392,1433,True,5875,371,71,31,87,16,control,False,en,489,0.0832340425531914,digitalart,2025-01-27,1.0,pre_labeled
treatment_000486,user_4007,user_91702,221,1413,True,12017,644,161,78,140,50,treatment,True,en,933,0.0776400099858533,"AIGenerated,GrokAI",2025-03-15,1.0,pre_labeled
control_000430,user_9055,user_95203,653,1076,True,5379,208,35,34,39,24,control,False,en,301,0.0559583565718535,"photography,portrait",2025-01-17,1.0,pre_labeled
treatment_000111,user_8025,user_26517,403,390,True,8930,238,124,67,61,33,treatment,True,en,462,0.0517357222844344,"AIGenerated,AIGenerated,AIArt",2025-02-07,1.0,pre_labeled
control_000559,user_2755,user_37527,912,1939,True,3968,161,72,15,23,7,control,False,en,255,0.0642641129032258,"portrait,digitalart,artistsontwitter",2025-01-17,1.0,pre_labeled
control_000393,user_7871,user_72571,407,1729,True,5981,214,79,24,25,22,control,False,en,339,0.0566794850359471,artistsontwitter,2025-01-08,1.0,pre_labeled
control_000565,user_2011,user_36700,347,648,False,2815,95,21,16,9,7,control,False,en,139,0.0493783303730017,portrait,2025-04-16,1.0,pre_labeled
control_000736,user_1816,user_82870,245,1039,True,3815,269,75,29,23,5,control,False,en,378,0.0990825688073394,"portrait,portrait,digitalart",2025-01-14,1.0,pre_labeled
control_000547,user_8158,user_55740,751,240,True,5901,193,94,14,35,17,control,False,en,318,0.0538891713268937,"portrait,digitalart",2025-04-14,1.0,pre_labeled
control_000480,user_8481,user_14999,323,1502,True,8632,329,161,45,106,12,control,False,en,547,0.063368860055607,digitalart,2025-02-04,1.0,pre_labeled
control_000528,user_8394,user_23534,163,1352,True,4988,135,51,20,16,24,control,False,en,230,0.0461106655974338,"portrait,portrait",2025-03-20,1.0,pre_labeled
treatment_000310,user_6993,user_66887,578,287,True,7946,617,103,61,116,21,treatment,True,en,802,0.1009312861817266,"SyntheticMedia,SyntheticMedia,GrokAI",2025-02-14,1.0,pre_labeled
control_000308,user_7890,user_26511,472,1165,False,7670,173,135,58,112,38,control,False,en,404,0.0526727509778357,"artistsontwitter,photography,photography",2025-04-26,1.0,pre_labeled
treatment_000482,user_3254,user_45408,473,70,True,14163,586,159,124,121,25,treatment,True,en,894,0.0631222198686718,GrokAI,2025-02-22,1.0,pre_labeled
treatment_000602,user_7650,user_36972,181,1742,True,5073,295,89,21,51,7,treatment,True,en,412,0.0812142716341415,"GrokAI,AIGenerated,SyntheticMedia",2025-04-03,1.0,pre_labeled
control_000436,user_4279,user_85233,603,267,True,2926,145,56,11,25,4,control,False,en,216,0.073820915926179,"portrait,digitalart,artistsontwitter",2025-01-19,1.0,pre_labeled
control_000382,user_7674,user_60981,505,482,True,9336,654,109,87,109,14,control,False,en,864,0.0925449871465295,"artistsontwitter,photography",2025-04-12,1.0,pre_labeled
treatment_000668,user_9269,user_79975,1281,381,False,5299,215,58,17,41,6,treatment,True,en,296,0.055859596150217,"AIGenerated,GrokImage,AIGenerated",2025-02-06,1.0,pre_labeled
treatment_000433,user_2179,user_77497,927,1045,False,10359,599,110,100,39,41,treatment,True,en,850,0.0820542523409595,"GrokAI,GrokAI",2025-01-12,1.0,pre_labeled
control_000787,user_5796,user_37941,92,930,True,2093,93,27,15,19,9,control,False,en,144,0.0688007644529383,"artistsontwitter,digitalart",2025-01-14,1.0,pre_labeled
control_000290,user_6727,user_18126,323,229,True,3364,73,40,26,18,7,control,False,en,146,0.0434007134363852,portrait,2025-03-21,1.0,pre_labeled
treatment_000583,user_1467,user_90728,147,1026,True,13537,474,183,38,190,49,treatment,True,en,744,0.0549604786880401,"SyntheticMedia,AIGenerated",2025-03-26,1.0,pre_labeled
treatment_000422,user_7894,user_96536,1607,1594,True,13471,679,248,128,58,33,treatment,True,en,1088,0.0807660901195159,AIGenerated,2025-02-16,1.0,pre_labeled
control_000734,user_4623,user_28076,152,478,True,4970,109,35,36,65,15,control,False,en,195,0.039235412474849,portrait,2025-01-29,1.0,pre_labeled
control_000184,user_7853,user_32879,608,1639,True,8623,535,105,83,47,37,control,False,en,760,0.0881363794503073,portrait,2025-02-21,1.0,pre_labeled
treatment_000722,user_8604,user_27221,112,832,False,7424,505,136,61,34,36,treatment,True,en,738,0.0994073275862068,"AIGenerated,GrokImage,GrokImage",2025-03-18,1.0,pre_labeled
control_000421,user_8458,user_26593,726,189,True,3898,126,21,20,32,19,control,False,en,186,0.047716777834787,photography,2025-04-20,1.0,pre_labeled
treatment_000621,user_5300,user_99522,254,664,True,10952,823,98,34,145,50,treatment,True,en,1005,0.0917640613586559,GrokImage,2025-04-14,1.0,pre_labeled
control_000039,user_5901,user_95071,199,1307,True,7160,516,84,65,82,12,control,False,en,677,0.0945530726256983,artistsontwitter,2025-01-27,1.0,pre_labeled
treatment_000767,user_5313,user_64307,348,182,True,10092,483,102,79,77,20,treatment,True,en,684,0.0677764565992865,"SyntheticMedia,AIGenerated",2025-03-18,1.0,pre_labeled
control_000057,user_1170,user_58659,260,1591,True,1857,74,24,4,25,4,control,False,en,106,0.0570813139472267,digitalart,2025-02-15,1.0,pre_labeled
treatment_000327,user_1336,user_67382,545,118,False,3790,198,19,26,26,7,treatment,True,en,250,0.0659630606860158,AIArt,2025-04-04,1.0,pre_labeled
treatment_000254,user_6944,user_16894,107,1043,True,7794,615,108,31,59,17,treatment,True,en,771,0.0989222478829869,"GrokImage,SyntheticMedia",2025-03-15,1.0,pre_labeled
treatment_000322,user_6531,user_34198,629,1370,True,9411,381,50,50,87,40,treatment,True,en,521,0.0553607480607799,SyntheticMedia,2025-04-17,1.0,pre_labeled
control_000361,user_7566,user_88657,2188,1649,True,8600,487,142,68,72,39,control,False,en,736,0.0855813953488372,photography,2025-03-23,1.0,pre_labeled
treatment_000506,user_5778,user_32918,317,278,True,10409,555,90,96,138,38,treatment,True,en,779,0.0748390815640311,"SyntheticMedia,GrokAI",2025-02-18,1.0,pre_labeled
control_000523,user_8111,user_88079,313,1969,True,5056,197,95,30,44,6,control,False,en,328,0.0648734177215189,portrait,2025-03-03,1.0,pre_labeled
treatment_000754,user_5994,user_51203,867,1985,True,9800,366,143,25,109,43,treatment,True,en,577,0.0588775510204081,"AIGenerated,AIGenerated,SyntheticMedia",2025-04-27,1.0,pre_labeled
control_000164,user_4234,user_44222,451,1225,False,4384,242,27,36,40,16,control,False,en,321,0.073220802919708,"photography,photography",2025-04-03,1.0,pre_labeled
treatment_000494,user_3608,user_95653,106,844,True,13310,428,207,108,144,44,treatment,True,en,787,0.0591284748309541,"SyntheticMedia,GrokImage,AIGenerated",2025-02-20,1.0,pre_labeled
control_000483,user_3256,user_94822,84,1936,True,3431,126,30,33,38,14,control,False,en,203,0.0591664237831536,portrait,2025-04-18,1.0,pre_labeled
control_000250,user_3263,user_20240,202,621,True,3745,77,23,22,21,13,control,False,en,135,0.0360480640854472,"digitalart,digitalart,portrait",2025-04-30,1.0,pre_labeled
treatment_000420,user_9346,user_68469,520,934,False,5782,123,87,21,70,14,treatment,True,en,245,0.0423728813559322,AIArt,2025-02-11,1.0,pre_labeled
treatment_000086,user_1874,user_14772,435,1597,False,11373,803,86,57,136,14,treatment,True,en,960,0.0844104457926668,AIGenerated,2025-04-09,1.0,pre_labeled
control_000458,user_3028,user_42993,880,443,True,6954,528,69,20,97,32,control,False,en,649,0.0933275812482024,"artistsontwitter,photography,portrait",2025-03-14,1.0,pre_labeled
control_000714,user_4217,user_18266,1019,244,True,6882,242,34,33,57,9,control,False,en,318,0.046207497820401,portrait,2025-04-12,1.0,pre_labeled
treatment_000365,user_5669,user_19448,423,498,True,9577,283,172,71,63,34,treatment,True,en,560,0.0584734259162577,GrokAI,2025-02-10,1.0,pre_labeled
treatment_000265,user_6228,user_44905,861,302,True,10678,525,110,33,85,13,treatment,True,en,681,0.0637759880127364,AIArt,2025-01-29,1.0,pre_labeled
treatment_000287,user_6144,user_99127,1165,613,True,10685,842,155,84,75,49,treatment,True,en,1130,0.1057557323350491,GrokAI,2025-04-30,1.0,pre_labeled
control_000783,user_4686,user_99717,227,79,True,7512,553,85,25,110,21,control,False,en,684,0.0910543130990415,portrait,2025-04-17,1.0,pre_labeled
treatment_000358,user_1818,user_44579,551,1876,True,23156,1241,403,203,144,63,treatment,True,en,1910,0.0824840214199343,SyntheticMedia,2025-02-27,1.0,pre_labeled
treatment_000054,user_5479,user_35901,728,111,True,10968,763,91,63,103,38,treatment,True,en,955,0.087071480671043,"AIArt,SyntheticMedia",2025-03-16,1.0,pre_labeled
control_000301,user_4378,user_40988,10,279,True,2964,171,40,21,43,11,control,False,en,243,0.0819838056680161,"photography,artistsontwitter",2025-01-02,1.0,pre_labeled
control_000401,user_3433,user_30818,217,1013,True,7267,485,57,67,29,28,control,False,en,637,0.0876565295169946,"artistsontwitter,artistsontwitter",2025-02-14,1.0,pre_labeled
control_000101,user_5197,user_74909,171,820,True,4186,86,32,20,38,17,control,False,en,155,0.0370281892021022,"portrait,photography,digitalart",2025-02-25,1.0,pre_labeled
treatment_000596,user_6213,user_65789,337,97,True,9892,538,49,44,71,14,treatment,True,en,645,0.06520420541852,"SyntheticMedia,GrokImage,SyntheticMedia",2025-04-07,1.0,pre_labeled
treatment_000626,user_4043,user_70442,1045,1444,True,30307,643,460,69,330,127,treatment,True,en,1299,0.0428613851585442,AIArt,2025-03-24,1.0,pre_labeled
control_000207,user_2293,user_68090,198,65,False,4558,309,56,43,57,20,control,False,en,428,0.0939008336989907,"portrait,portrait,photography",2025-04-22,1.0,pre_labeled
treatment_000221,user_5101,user_16485,37,1203,True,14892,606,75,67,68,66,treatment,True,en,814,0.0546602202524845,AIArt,2025-02-07,1.0,pre_labeled
treatment_000113,user_5129,user_98201,902,164,True,6065,254,47,50,37,18,treatment,True,en,369,0.0608408903544929,AIArt,2025-01-19,1.0,pre_labeled
treatment_000643,user_5327,user_48967,772,297,True,7744,348,51,65,110,29,treatment,True,en,493,0.0636621900826446,"AIArt,AIGenerated",2025-03-16,1.0,pre_labeled
control_000572,user_1400,user_26590,313,1517,True,4055,178,77,31,60,5,control,False,en,291,0.0717632552404439,"digitalart,artistsontwitter",2025-03-08,1.0,pre_labeled
treatment_000174,user_7270,user_23313,36,619,True,22558,1421,282,165,233,63,treatment,True,en,1931,0.0856015604220232,SyntheticMedia,2025-02-08,1.0,pre_labeled
treatment_000513,user_8348,user_86800,361,1376,True,16191,1009,138,128,172,37,treatment,True,en,1312,0.0810326724723611,GrokAI,2025-03-23,1.0,pre_labeled
treatment_000599,user_6781,user_36944,745,446,True,16649,1147,175,44,193,45,treatment,True,en,1411,0.0847498348249144,"AIGenerated,AIArt,GrokAI",2025-02-18,1.0,pre_labeled
treatment_000453,user_1223,user_81430,74,845,False,10198,504,83,32,101,34,treatment,True,en,653,0.0640321631692488,"GrokImage,SyntheticMedia",2025-04-23,1.0,pre_labeled
control_000451,user_9081,user_81816,217,550,True,5172,377,39,41,43,6,control,False,en,463,0.0895204949729311,"digitalart,portrait",2025-04-05,1.0,pre_labeled
treatment_000018,user_8556,user_69916,256,1462,False,10540,668,194,54,38,43,treatment,True,en,959,0.0909867172675521,"AIGenerated,GrokAI,AIGenerated",2025-04-06,1.0,pre_labeled
treatment_000423,user_6229,user_68868,198,840,True,8224,335,46,40,86,28,treatment,True,en,449,0.0545963035019455,"GrokAI,AIGenerated,SyntheticMedia",2025-03-17,1.0,pre_labeled
control_000268,user_2022,user_14431,325,213,True,8016,160,148,46,41,34,control,False,en,388,0.0484031936127744,portrait,2025-04-07,1.0,pre_labeled
treatment_000285,user_9439,user_85515,498,495,False,9646,196,183,27,128,33,treatment,True,en,439,0.045511092680904,"GrokAI,AIArt,GrokAI",2025-03-14,1.0,pre_labeled
treatment_000428,user_1225,user_23861,231,274,True,14303,842,241,92,102,31,treatment,True,en,1206,0.0843179752499475,"SyntheticMedia,AIArt,AIGenerated",2025-04-28,1.0,pre_labeled
control_000190,user_5207,user_62901,127,706,False,3963,95,38,21,26,10,control,False,en,164,0.0413827908150391,"digitalart,digitalart",2025-01-27,1.0,pre_labeled
control_000669,user_3165,user_23148,432,938,False,4904,219,36,45,42,10,control,False,en,310,0.0632137030995106,"photography,artistsontwitter",2025-01-06,1.0,pre_labeled
control_000472,user_3495,user_46062,176,547,False,4931,330,69,44,59,15,control,False,en,458,0.0928817684039748,"digitalart,digitalart,artistsontwitter",2025-02-11,1.0,pre_labeled
treatment_000031,user_3044,user_31674,333,1055,True,13740,475,250,64,177,14,treatment,True,en,803,0.0584425036390101,AIArt,2025-03-09,1.0,pre_labeled
treatment_000618,user_1550,user_87486,126,749,True,10076,623,135,24,82,23,treatment,True,en,805,0.0798928146089718,"GrokImage,GrokImage",2025-01-21,1.0,pre_labeled
treatment_000210,user_3349,user_34188,920,1370,True,10573,303,164,53,134,36,treatment,True,en,556,0.0525867776411614,"GrokAI,GrokAI,SyntheticMedia",2025-01-02,1.0,pre_labeled
treatment_000439,user_4577,user_13685,288,255,False,10191,671,187,69,32,50,treatment,True,en,977,0.0958689039348444,"AIArt,GrokImage,GrokAI",2025-01-10,1.0,pre_labeled
control_000743,user_7419,user_56886,156,534,True,1685,77,32,8,7,4,control,False,en,121,0.0718100890207715,photography,2025-01-20,1.0,pre_labeled
control_000252,user_6813,user_36337,1078,387,False,4551,265,43,44,34,16,control,False,en,368,0.080861349154032,"photography,portrait,portrait",2025-03-26,1.0,pre_labeled
treatment_000214,user_7631,user_56735,97,1033,True,22659,1372,308,193,298,102,treatment,True,en,1975,0.0871618341497859,"GrokImage,GrokAI,AIGenerated",2025-01-09,1.0,pre_labeled
control_000672,user_5971,user_38666,818,1503,True,3422,247,45,33,24,9,control,False,en,334,0.09760374050263,"digitalart,artistsontwitter,photography",2025-03-31,1.0,pre_labeled
control_000118,user_9238,user_41214,272,808,True,6224,132,80,29,87,26,control,False,en,267,0.0428984575835475,"portrait,artistsontwitter,artistsontwitter",2025-02-09,1.0,pre_labeled
treatment_000755,user_4940,user_24646,1253,98,True,12042,342,107,107,164,56,treatment,True,en,612,0.0508221225710014,"AIGenerated,GrokImage",2025-01-17,1.0,pre_labeled
treatment_000326,user_3127,user_86870,611,637,True,6490,211,49,27,66,29,treatment,True,en,316,0.0486902927580893,"AIArt,AIGenerated,SyntheticMedia",2025-02-13,1.0,pre_labeled
treatment_000664,user_6376,user_86677,888,1743,True,17328,1009,234,116,127,17,treatment,True,en,1376,0.0794090489381348,"SyntheticMedia,GrokImage",2025-01-16,1.0,pre_labeled
control_000626,user_4963,user_36487,1652,1580,False,3677,85,64,14,38,5,control,False,en,168,0.0456894207234158,"artistsontwitter,photography",2025-03-29,1.0,pre_labeled
treatment_000188,user_3148,user_32165,140,319,True,8760,473,98,71,71,27,treatment,True,en,669,0.0763698630136986,"AIArt,GrokAI,SyntheticMedia",2025-04-03,1.0,pre_labeled
control_000550,user_1059,user_77507,591,978,True,5858,343,107,34,52,11,control,False,en,495,0.0844998292932741,portrait,2025-03-08,1.0,pre_labeled
treatment_000341,user_3617,user_40460,728,328,False,10975,261,141,61,91,43,treatment,True,en,506,0.0461047835990888,"AIArt,GrokAI",2025-03-06,1.0,pre_labeled
control_000591,user_9072,user_48625,881,1536,True,7146,181,106,33,95,21,control,False,en,341,0.0477190036383991,"photography,artistsontwitter",2025-02-07,1.0,pre_labeled
treatment_000147,user_3105,user_22068,191,318,True,7311,505,127,43,35,34,treatment,True,en,709,0.0969771577075639,"AIGenerated,SyntheticMedia",2025-01-14,1.0,pre_labeled
control_000694,user_7880,user_21139,225,1257,True,2027,118,34,13,20,3,control,False,en,168,0.082881105081401,"photography,portrait,artistsontwitter",2025-04-08,1.0,pre_labeled
treatment_000360,user_8609,user_62461,497,250,True,13015,322,162,32,141,24,treatment,True,en,540,0.0414905877833269,GrokAI,2025-04-25,1.0,pre_labeled
treatment_000083,user_8493,user_23969,233,65,True,11428,838,165,103,146,42,treatment,True,en,1148,0.1004550227511375,AIGenerated,2025-04-12,1.0,pre_labeled
treatment_000757,user_4449,user_79563,572,584,True,9579,684,66,92,100,21,treatment,True,en,863,0.0900929115774089,"AIArt,GrokImage",2025-03-23,1.0,pre_labeled
treatment_000479,user_1982,user_87890,928,1021,True,9048,562,80,42,48,20,treatment,True,en,704,0.0778072502210433,AIGenerated,2025-01-26,1.0,pre_labeled
treatment_000048,user_7100,user_83797,295,1517,True,12831,964,190,68,84,58,treatment,True,en,1280,0.099758397630738,"GrokAI,SyntheticMedia",2025-03-30,1.0,pre_labeled
control_000510,user_6021,user_25861,873,1709,True,2360,76,35,21,16,9,control,False,en,141,0.0597457627118644,artistsontwitter,2025-03-18,1.0,pre_labeled
treatment_000155,user_6956,user_64988,714,1038,True,14715,315,123,111,93,51,treatment,True,en,600,0.0407747196738022,"GrokAI,GrokAI,GrokAI",2025-04-29,1.0,pre_labeled
control_000222,user_9302,user_90177,785,584,True,1868,46,17,17,8,6,control,False,en,86,0.0460385438972162,"photography,portrait,artistsontwitter",2025-02-11,1.0,pre_labeled
control_000412,user_6550,user_60445,319,91,True,5488,211,28,25,49,8,control,False,en,272,0.0495626822157434,"photography,photography",2025-03-13,1.0,pre_labeled
control_000786,user_8283,user_19090,245,1713,True,7176,573,70,44,90,26,control,False,en,713,0.0993589743589743,"digitalart,photography",2025-03-15,1.0,pre_labeled
control_000370,user_4002,user_47658,640,1474,True,2600,131,18,5,30,12,control,False,en,166,0.0638461538461538,"artistsontwitter,portrait",2025-02-25,1.0,pre_labeled
control_000116,user_7966,user_26337,463,1785,False,3196,251,27,22,19,8,control,False,en,308,0.0963704630788485,artistsontwitter,2025-03-18,1.0,pre_labeled
control_000508,user_5484,user_29916,728,1395,True,5769,289,47,49,77,17,control,False,en,402,0.0696827873114924,"portrait,artistsontwitter,digitalart",2025-02-16,1.0,pre_labeled
control_000780,user_1945,user_93321,466,1513,True,4746,175,73,31,71,22,control,False,en,301,0.0634218289085545,"artistsontwitter,digitalart,digitalart",2025-03-19,1.0,pre_labeled
treatment_000619,user_2257,user_52862,304,1408,True,24285,1250,252,69,225,63,treatment,True,en,1634,0.0672843318921144,"AIGenerated,SyntheticMedia",2025-01-27,1.0,pre_labeled
treatment_000179,user_5508,user_60918,36,1688,True,18880,1296,184,135,251,68,treatment,True,en,1683,0.0891419491525423,"AIArt,GrokImage",2025-01-05,1.0,pre_labeled
control_000476,user_5103,user_44355,1872,840,True,4708,246,49,10,63,19,control,False,en,324,0.0688190314358538,"artistsontwitter,artistsontwitter",2025-02-17,1.0,pre_labeled
control_000447,user_6138,user_32136,494,729,True,6154,346,35,19,70,27,control,False,en,427,0.0693857653558661,"artistsontwitter,portrait,portrait",2025-02-15,1.0,pre_labeled
control_000526,user_2061,user_18464,1078,1793,False,1374,109,17,11,19,5,control,False,en,142,0.1033478893740902,"artistsontwitter,portrait,photography",2025-04-25,1.0,pre_labeled
treatment_000679,user_9422,user_47494,355,1307,True,5648,445,83,47,68,27,treatment,True,en,602,0.1065864022662889,GrokImage,2025-01-17,1.0,pre_labeled
control_000045,user_4859,user_78138,696,632,False,3569,282,23,10,22,10,control,False,en,325,0.0910619221070327,"photography,digitalart,digitalart",2025-04-24,1.0,pre_labeled
control_000126,user_3492,user_20194,1067,1570,False,10395,569,181,76,86,13,control,False,en,839,0.0807118807118807,"portrait,artistsontwitter",2025-02-23,1.0,pre_labeled
treatment_000363,user_9040,user_57826,714,1086,True,17390,1081,126,155,93,51,treatment,True,en,1413,0.0812535940195514,AIGenerated,2025-02-04,1.0,pre_labeled
control_000324,user_2631,user_74058,681,30,True,4194,155,82,26,19,9,control,False,en,272,0.0648545541249403,photography,2025-01-28,1.0,pre_labeled
treatment_000426,user_8777,user_19652,359,788,True,16254,627,164,158,179,42,treatment,True,en,991,0.0609696074812353,"AIArt,AIArt,GrokAI",2025-04-17,1.0,pre_labeled
control_000452,user_4398,user_20638,584,1348,True,4302,121,82,31,46,7,control,False,en,241,0.0560204556020455,photography,2025-02-13,1.0,pre_labeled
control_000706,user_8384,user_24012,476,260,True,7755,347,42,59,44,25,control,False,en,473,0.0609929078014184,"photography,portrait,artistsontwitter",2025-04-17,1.0,pre_labeled
treatment_000346,user_9921,user_57820,382,1998,True,12603,286,203,81,70,47,treatment,True,en,617,0.0489565976354836,AIGenerated,2025-04-29,1.0,pre_labeled
control_000306,user_6252,user_79244,1314,1686,True,3877,176,68,15,12,11,control,False,en,270,0.0696414753675522,"photography,artistsontwitter,artistsontwitter",2025-01-30,1.0,pre_labeled
control_000765,user_2385,user_35976,417,1195,True,5353,282,67,50,37,22,control,False,en,421,0.0786474873902484,"artistsontwitter,digitalart,digitalart",2025-01-15,1.0,pre_labeled
treatment_000532,user_2402,user_48239,464,1995,True,11322,243,220,74,169,26,treatment,True,en,563,0.0497261967850203,SyntheticMedia,2025-01-16,1.0,pre_labeled
treatment_000710,user_7112,user_40001,796,425,True,8132,306,92,25,80,40,treatment,True,en,463,0.0569355632070831,GrokAI,2025-01-12,1.0,pre_labeled
control_000379,user_1491,user_61565,311,403,False,3904,294,71,21,19,7,control,False,en,393,0.1006659836065573,photography,2025-01-16,1.0,pre_labeled
control_000576,user_4420,user_71232,431,1200,True,6476,257,40,17,63,23,control,False,en,337,0.0520382952439777,"digitalart,photography,portrait",2025-03-12,1.0,pre_labeled
treatment_000674,user_6596,user_97941,143,1258,True,13779,599,189,47,205,21,treatment,True,en,856,0.0621235213005297,"GrokImage,GrokImage",2025-01-03,1.0,pre_labeled
control_000505,user_1298,user_96028,273,757,True,5128,258,49,16,53,6,control,False,en,329,0.0641575663026521,"portrait,portrait,photography",2025-04-14,1.0,pre_labeled
treatment_000711,user_5703,user_30542,320,1693,True,12314,781,117,102,47,40,treatment,True,en,1040,0.0844567159330842,GrokImage,2025-04-29,1.0,pre_labeled
treatment_000243,user_6847,user_43503,397,1083,True,9181,197,181,49,63,14,treatment,True,en,441,0.048033983226228,GrokAI,2025-04-07,1.0,pre_labeled
control_000249,user_8353,user_92399,416,1496,True,2663,65,22,7,30,5,control,False,en,99,0.0371761171610965,"digitalart,photography",2025-04-14,1.0,pre_labeled
treatment_000781,user_6733,user_29471,785,715,True,8036,552,106,42,67,24,treatment,True,en,724,0.0900945744151319,"GrokAI,AIGenerated,AIGenerated",2025-03-05,1.0,pre_labeled
control_000142,user_8640,user_25441,388,399,True,3349,208,62,25,42,11,control,False,en,306,0.0913705583756345,"digitalart,photography,portrait",2025-01-09,1.0,pre_labeled
control_000065,user_2948,user_23448,488,723,True,2225,127,20,6,27,7,control,False,en,160,0.0719101123595505,"photography,photography,digitalart",2025-04-11,1.0,pre_labeled
control_000534,user_7091,user_43368,480,1012,True,3257,244,27,26,40,15,control,False,en,312,0.0957936751611912,"artistsontwitter,artistsontwitter,photography",2025-01-09,1.0,pre_labeled
treatment_000312,user_2069,user_27330,716,1152,True,15695,778,196,111,61,56,treatment,True,en,1141,0.0726983115641924,GrokAI,2025-04-17,1.0,pre_labeled
treatment_000435,user_2113,user_41184,197,1758,True,12631,830,83,79,179,30,treatment,True,en,1022,0.0809120418019159,"AIArt,GrokAI,AIGenerated",2025-03-13,1.0,pre_labeled
control_000713,user_5100,user_91738,481,60,True,4537,273,36,24,48,14,control,False,en,347,0.0764822569980163,"artistsontwitter,portrait",2025-03-17,1.0,pre_labeled
treatment_000613,user_4465,user_81276,102,1848,True,8385,390,44,64,49,15,treatment,True,en,513,0.0611806797853309,SyntheticMedia,2025-04-19,1.0,pre_labeled
