post_id,author_id,author_username,author_followers,author_account_age_days,author_created,text,created_at,lang,has_media,media_types,media_urls,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,engagement_total,engagement_rate
treatment_000453,user_2123,user_42655,412,1717,2022-01-01,Synthetic treatment post #453,2025-02-12,en,True,photo,,463,123,89,10846,114,34,grokimage,treatment,True,709,0.06536972155633414
control_000451,user_7087,user_71197,215,835,2022-01-01,Synthetic control post #451,2025-01-03,en,True,photo,,79,23,24,2557,26,6,"portrait,digitalart,artistsontwitter",control,False,132,0.05162299569808369
treatment_000018,user_8393,user_32485,466,1982,2022-01-01,Synthetic treatment post #18,2025-04-15,en,True,photo,,529,63,49,7633,49,13,syntheticmedia,treatment,True,654,0.08568059740600026
treatment_000423,user_8717,user_97461,299,520,2022-01-01,Synthetic treatment post #423,2025-01-29,en,False,photo,,1055,206,108,13422,184,45,"grokimage,grokai",treatment,True,1414,0.10534942631500521
control_000268,user_6327,user_14734,608,1209,2022-01-01,Synthetic control post #268,2025-03-10,en,True,photo,,124,42,23,3203,27,6,"portrait,artistsontwitter,photography",control,False,195,0.060880424601935684
treatment_000285,user_8365,user_42852,233,1762,2022-01-01,Synthetic treatment post #285,2025-01-16,en,True,photo,,451,45,22,8935,88,36,"syntheticmedia,aigenerated",treatment,True,554,0.06200335758254057
treatment_000428,user_4009,user_23865,712,1102,2022-01-01,Synthetic treatment post #428,2025-01-20,en,True,photo,,796,113,100,10317,54,26,aiart,treatment,True,1035,0.10031986042454202
control_000190,user_2069,user_18348,1194,703,2022-01-01,Synthetic control post #190,2025-04-13,en,True,photo,,126,18,9,3263,33,14,photography,control,False,167,0.05117989580140975
control_000669,user_7064,user_23280,686,1006,2022-01-01,Synthetic control post #669,2025-02-06,en,True,photo,,303,76,30,5773,69,11,"photography,artistsontwitter,portrait",control,False,420,0.07275246838732029
control_000472,user_8997,user_96191,533,834,2022-01-01,Synthetic control post #472,2025-03-22,en,True,photo,,137,73,12,4744,19,10,digitalart,control,False,232,0.048903878583473864
treatment_000031,user_2993,user_74923,306,62,2022-01-01,Synthetic treatment post #31,2025-03-31,en,False,photo,,674,391,61,27243,120,111,grokai,treatment,True,1237,0.045406159380391296
treatment_000618,user_7103,user_99466,258,754,2022-01-01,Synthetic treatment post #618,2025-03-15,en,True,photo,,666,159,74,10651,118,50,"syntheticmedia,aigenerated",treatment,True,949,0.08909961505961882
treatment_000210,user_7326,user_51741,327,513,2022-01-01,Synthetic treatment post #210,2025-03-30,en,True,photo,,960,216,119,12778,111,36,"grokai,syntheticmedia,grokimage",treatment,True,1331,0.10416340585381124
treatment_000439,user_5250,user_15289,137,1950,2022-01-01,Synthetic treatment post #439,2025-01-23,en,True,photo,,541,224,73,12663,44,48,"grokai,syntheticmedia,aigenerated",treatment,True,886,0.06996762220642817
control_000743,user_2111,user_94613,167,1587,2022-01-01,Synthetic control post #743,2025-02-05,en,True,photo,,144,61,35,5809,72,14,"photography,portrait,artistsontwitter",control,False,254,0.04372525391633672
control_000252,user_9581,user_78735,611,1668,2022-01-01,Synthetic control post #252,2025-01-12,en,True,photo,,341,95,47,7287,32,29,"portrait,photography",control,False,512,0.07026211060793193
treatment_000214,user_3281,user_41543,215,321,2022-01-01,Synthetic treatment post #214,2025-01-28,en,True,photo,,763,76,54,10368,72,47,"aigenerated,grokai",treatment,True,940,0.09066358024691358
control_000672,user_1622,user_23225,385,1945,2022-01-01,Synthetic control post #672,2025-04-01,en,True,photo,,546,157,52,9377,63,30,"portrait,photography,artistsontwitter",control,False,785,0.08371547403220646
control_000118,user_3946,user_35480,185,517,2022-01-01,Synthetic control post #118,2025-02-28,en,True,photo,,27,6,1,398,5,1,"artistsontwitter,photography",control,False,35,0.08793969849246232
treatment_000755,user_5978,user_61187,766,1060,2022-01-01,Synthetic treatment post #755,2025-01-19,en,True,photo,,189,46,14,5931,43,17,aiart,treatment,True,266,0.04484909795987186
treatment_000326,user_1907,user_63417,636,1758,2022-01-01,Synthetic treatment post #326,2025-03-02,en,False,photo,,341,191,90,11230,155,17,"aiart,grokimage,syntheticmedia",treatment,True,639,0.056901157613535175
treatment_000664,user_1867,user_56314,473,1045,2022-01-01,Synthetic treatment post #664,2025-02-23,en,True,photo,,865,285,77,15662,97,23,aigenerated,treatment,True,1250,0.07981100753415911
control_000626,user_7172,user_83989,277,183,2022-01-01,Synthetic control post #626,2025-02-11,en,True,photo,,177,25,12,4942,54,22,portrait,control,False,236,0.04775394577094294
treatment_000188,user_2281,user_27008,849,733,2022-01-01,Synthetic treatment post #188,2025-04-21,en,True,photo,,541,328,159,23825,130,117,"grokai,aigenerated",treatment,True,1145,0.04805876180482686
control_000550,user_9829,user_67550,597,1718,2022-01-01,Synthetic control post #550,2025-01-24,en,True,photo,,48,12,9,2042,16,4,"digitalart,artistsontwitter",control,False,73,0.03574926542605289
treatment_000341,user_9121,user_39433,399,715,2022-01-01,Synthetic treatment post #341,2025-01-26,en,True,photo,,349,134,63,7019,79,21,"grokai,syntheticmedia",treatment,True,567,0.08078073799686565
control_000591,user_3549,user_96091,262,1446,2022-01-01,Synthetic control post #591,2025-03-25,en,True,photo,,95,19,4,1496,10,4,photography,control,False,122,0.08155080213903744
treatment_000147,user_8006,user_20188,99,606,2022-01-01,Synthetic treatment post #147,2025-04-28,en,False,photo,,402,72,18,6122,19,7,"grokai,aigenerated,grokimage",treatment,True,499,0.0815093106827834
control_000694,user_7347,user_20099,827,100,2022-01-01,Synthetic control post #694,2025-04-24,en,True,photo,,243,68,12,3446,51,10,"portrait,photography,artistsontwitter",control,False,333,0.09663377829367382
treatment_000360,user_9885,user_73815,264,588,2022-01-01,Synthetic treatment post #360,2025-01-20,en,False,photo,,631,114,71,12488,80,15,"aigenerated,grokimage,syntheticmedia",treatment,True,831,0.06654388212684177
treatment_000083,user_2045,user_64816,438,1853,2022-01-01,Synthetic treatment post #83,2025-04-01,en,True,photo,,794,273,31,14202,120,62,"grokai,aiart",treatment,True,1160,0.08167863681171667
treatment_000757,user_8877,user_85368,206,1851,2022-01-01,Synthetic treatment post #757,2025-04-12,en,True,photo,,560,144,84,8631,43,41,"grokai,aiart",treatment,True,829,0.09604912524620554
treatment_000479,user_1102,user_88507,590,707,2022-01-01,Synthetic treatment post #479,2025-02-17,en,True,photo,,707,90,61,8930,106,17,grokai,treatment,True,875,0.09798432250839866
treatment_000048,user_2644,user_64180,503,702,2022-01-01,Synthetic treatment post #48,2025-03-23,en,True,photo,,756,221,57,11764,41,31,"syntheticmedia,aigenerated",treatment,True,1065,0.09053043182590956
control_000510,user_8397,user_24618,338,1904,2022-01-01,Synthetic control post #510,2025-04-14,en,True,photo,,235,51,21,3425,40,8,"portrait,digitalart,artistsontwitter",control,False,315,0.09197080291970802
treatment_000155,user_4636,user_77136,279,200,2022-01-01,Synthetic treatment post #155,2025-04-26,en,False,photo,,397,123,35,7937,45,32,"aiart,grokimage",treatment,True,587,0.0739574146402923
control_000222,user_7062,user_35213,1212,120,2022-01-01,Synthetic control post #222,2025-03-21,en,True,photo,,373,69,51,7084,88,8,artistsontwitter,control,False,501,0.07072275550536421
control_000412,user_9747,user_46871,282,1987,2022-01-01,Synthetic control post #412,2025-01-21,en,False,photo,,156,17,21,2750,9,8,digitalart,control,False,202,0.07345454545454545
control_000786,user_5163,user_87149,236,246,2022-01-01,Synthetic control post #786,2025-01-04,en,True,photo,,415,36,14,5411,31,11,photography,control,False,476,0.08796895213454076
control_000370,user_1934,user_18102,422,270,2022-01-01,Synthetic control post #370,2025-04-21,en,True,photo,,229,70,34,4186,38,8,artistsontwitter,control,False,341,0.08146201624462494
control_000116,user_6673,user_98168,394,818,2022-01-01,Synthetic control post #116,2025-04-14,en,True,photo,,360,92,75,8231,118,9,"digitalart,portrait",control,False,536,0.06511966954197546
control_000508,user_6474,user_58325,394,464,2022-01-01,Synthetic control post #508,2025-01-09,en,True,photo,,238,67,22,3465,27,11,"digitalart,portrait",control,False,338,0.09754689754689755
control_000780,user_7575,user_67936,392,1577,2022-01-01,Synthetic control post #780,2025-04-25,en,True,photo,,133,32,40,4906,54,22,"digitalart,artistsontwitter",control,False,227,0.04626987362413371
treatment_000619,user_5410,user_34368,982,1103,2022-01-01,Synthetic treatment post #619,2025-03-05,en,False,photo,,164,61,40,5563,21,23,aiart,treatment,True,288,0.05177062735933849
treatment_000179,user_2210,user_92171,180,37,2022-01-01,Synthetic treatment post #179,2025-01-04,en,True,photo,,266,152,75,8484,35,41,grokimage,treatment,True,534,0.06294200848656294
control_000476,user_9333,user_68839,1621,472,2022-01-01,Synthetic control post #476,2025-02-04,en,True,photo,,331,89,17,4558,47,9,"portrait,digitalart",control,False,446,0.09784993418165862
control_000447,user_8991,user_24783,1524,897,2022-01-01,Synthetic control post #447,2025-02-17,en,False,photo,,435,136,60,7482,57,32,"photography,portrait",control,False,663,0.08861267040898156
control_000526,user_3910,user_11408,1444,1691,2022-01-01,Synthetic control post #526,2025-01-03,en,True,photo,,119,72,12,4538,65,20,"photography,artistsontwitter",control,False,223,0.04914059056853239
treatment_000679,user_1554,user_79192,23,463,2022-01-01,Synthetic treatment post #679,2025-04-24,en,True,photo,,247,130,59,7146,74,9,"syntheticmedia,grokai",treatment,True,445,0.06227260005597537
control_000045,user_4725,user_91014,358,1095,2022-01-01,Synthetic control post #45,2025-04-24,en,False,photo,,137,33,29,2983,41,12,"artistsontwitter,digitalart,portrait",control,False,211,0.07073416024136775
control_000126,user_3012,user_55653,426,477,2022-01-01,Synthetic control post #126,2025-04-29,en,True,photo,,191,143,85,9463,112,22,"digitalart,artistsontwitter",control,False,441,0.046602557328542744
treatment_000363,user_3930,user_95300,743,123,2022-01-01,Synthetic treatment post #363,2025-03-03,en,True,photo,,144,65,16,3417,45,14,aigenerated,treatment,True,239,0.06994439566871524
control_000324,user_3669,user_59734,848,206,2022-01-01,Synthetic control post #324,2025-01-15,en,True,photo,,421,43,20,6567,40,28,"digitalart,photography,artistsontwitter",control,False,512,0.07796558550327394
treatment_000426,user_2571,user_96051,421,228,2022-01-01,Synthetic treatment post #426,2025-03-19,en,False,photo,,253,189,26,9906,67,45,grokimage,treatment,True,513,0.05178679588128407
control_000452,user_4565,user_29548,141,1153,2022-01-01,Synthetic control post #452,2025-04-27,en,True,photo,,503,189,44,10412,107,25,"artistsontwitter,digitalart",control,False,761,0.07308874375720323
control_000706,user_4433,user_38470,929,561,2022-01-01,Synthetic control post #706,2025-01-12,en,False,photo,,234,50,26,3062,27,8,"portrait,photography",control,False,318,0.1038536903984324
treatment_000346,user_1863,user_80487,114,720,2022-01-01,Synthetic treatment post #346,2025-02-06,en,True,photo,,333,139,65,7334,31,14,"aiart,syntheticmedia,grokimage",treatment,True,551,0.07512953367875648
control_000306,user_6558,user_60177,785,802,2022-01-01,Synthetic control post #306,2025-01-02,en,True,photo,,151,30,13,3404,23,5,digitalart,control,False,199,0.05846063454759107
control_000765,user_1711,user_50535,98,1706,2022-01-01,Synthetic control post #765,2025-04-24,en,True,photo,,325,83,41,4783,28,23,"photography,artistsontwitter,portrait",control,False,472,0.0986828350407694
treatment_000532,user_8719,user_89582,687,581,2022-01-01,Synthetic treatment post #532,2025-02-24,en,True,photo,,497,112,60,7468,64,23,"syntheticmedia,grokai,grokimage",treatment,True,692,0.09266202463845742
treatment_000710,user_2785,user_33798,604,1690,2022-01-01,Synthetic treatment post #710,2025-01-09,en,True,photo,,407,57,63,7371,91,8,grokai,treatment,True,535,0.07258173924840591
control_000379,user_2849,user_69956,1406,1002,2022-01-01,Synthetic control post #379,2025-04-07,en,True,photo,,124,29,5,1645,16,6,artistsontwitter,control,False,164,0.09969604863221884
control_000576,user_9074,user_12953,229,1845,2022-01-01,Synthetic control post #576,2025-04-05,en,True,photo,,113,91,30,5198,29,5,"digitalart,portrait,photography",control,False,239,0.04597922277799153
treatment_000674,user_8122,user_55452,213,1696,2022-01-01,Synthetic treatment post #674,2025-01-24,en,True,photo,,764,244,103,13282,155,54,"syntheticmedia,aiart,grokai",treatment,True,1165,0.08771269387140491
control_000505,user_6258,user_40762,726,1103,2022-01-01,Synthetic control post #505,2025-03-21,en,True,photo,,513,55,21,6676,98,29,portrait,control,False,618,0.09257040143798682
treatment_000711,user_7134,user_46005,164,431,2022-01-01,Synthetic treatment post #711,2025-04-04,en,True,photo,,965,322,95,17666,164,33,"grokimage,aigenerated",treatment,True,1415,0.08009736216460998
treatment_000243,user_5703,user_72627,842,456,2022-01-01,Synthetic treatment post #243,2025-04-14,en,True,photo,,595,119,83,10425,73,11,"grokai,grokimage,aigenerated",treatment,True,808,0.07750599520383693
control_000249,user_3910,user_11005,230,801,2022-01-01,Synthetic control post #249,2025-03-05,en,True,photo,,401,101,38,6079,23,17,digitalart,control,False,557,0.09162691232110544
treatment_000781,user_4832,user_86645,745,1631,2022-01-01,Synthetic treatment post #781,2025-01-11,en,True,photo,,471,169,40,10451,152,39,"aigenerated,grokimage",treatment,True,719,0.06879724428284374
control_000142,user_5632,user_28354,590,1878,2022-01-01,Synthetic control post #142,2025-01-17,en,False,photo,,318,63,22,4651,44,5,"photography,portrait,digitalart",control,False,408,0.08772307030746077
control_000065,user_6533,user_69962,717,1399,2022-01-01,Synthetic control post #65,2025-03-20,en,True,photo,,258,43,34,5747,38,9,artistsontwitter,control,False,344,0.05985731686097094
control_000534,user_4540,user_64887,378,98,2022-01-01,Synthetic control post #534,2025-02-12,en,True,photo,,307,64,24,6185,55,7,photography,control,False,402,0.06499595796281325
treatment_000312,user_5919,user_70359,561,1486,2022-01-01,Synthetic treatment post #312,2025-04-10,en,True,photo,,715,197,98,10752,82,40,syntheticmedia,treatment,True,1050,0.09765625
treatment_000435,user_5702,user_97944,248,1170,2022-01-01,Synthetic treatment post #435,2025-03-13,en,True,photo,,971,203,84,14768,199,34,"grokimage,aigenerated",treatment,True,1292,0.08748645720476707
control_000713,user_8214,user_20870,520,169,2022-01-01,Synthetic control post #713,2025-04-25,en,True,photo,,395,113,26,7952,33,32,photography,control,False,566,0.07117706237424547
treatment_000613,user_2762,user_61015,1063,1090,2022-01-01,Synthetic treatment post #613,2025-01-27,en,True,photo,,304,126,71,11596,128,20,"aiart,grokimage",treatment,True,521,0.044929285960676094
treatment_000308,user_8747,user_49357,401,1769,2022-01-01,Synthetic treatment post #308,2025-02-25,en,True,photo,,338,296,124,15108,120,58,"grokimage,aigenerated,aiart",treatment,True,816,0.054011119936457505
control_000081,user_9117,user_83115,143,1473,2022-01-01,Synthetic control post #81,2025-03-04,en,True,photo,,84,37,21,2245,27,8,digitalart,control,False,150,0.066815144766147
treatment_000430,user_9551,user_21582,438,447,2022-01-01,Synthetic treatment post #430,2025-01-01,en,True,photo,,397,112,32,8717,97,18,"grokimage,syntheticmedia,grokai",treatment,True,559,0.06412756682344843
treatment_000370,user_1517,user_96889,140,202,2022-01-01,Synthetic treatment post #370,2025-02-23,en,False,photo,,365,215,153,16074,132,78,"aigenerated,grokimage",treatment,True,811,0.050454149558292895
control_000551,user_2698,user_49034,94,385,2022-01-01,Synthetic control post #551,2025-02-26,en,True,photo,,220,22,29,2971,14,12,"artistsontwitter,digitalart",control,False,283,0.09525412319084484
treatment_000181,user_8164,user_38494,719,312,2022-01-01,Synthetic treatment post #181,2025-03-09,en,False,photo,,892,206,54,13353,146,51,grokimage,treatment,True,1203,0.09009211413165581
control_000410,user_1344,user_47413,364,1318,2022-01-01,Synthetic control post #410,2025-01-10,en,True,photo,,242,100,20,5713,57,18,"artistsontwitter,photography",control,False,380,0.06651496586732014
treatment_000538,user_1405,user_70082,1044,1385,2022-01-01,Synthetic treatment post #538,2025-03-22,en,True,photo,,948,272,107,15179,219,58,"aiart,aigenerated,syntheticmedia",treatment,True,1385,0.09124448250872917
control_000115,user_9159,user_77738,223,1823,2022-01-01,Synthetic control post #115,2025-02-17,en,True,photo,,298,53,27,4037,30,8,digitalart,control,False,386,0.09561555610601932
control_000667,user_2934,user_90069,1200,1578,2022-01-01,Synthetic control post #667,2025-01-24,en,True,photo,,32,10,7,1193,7,3,"portrait,photography",control,False,52,0.04358759430008382
treatment_000296,user_2155,user_54973,360,802,2022-01-01,Synthetic treatment post #296,2025-03-01,en,True,photo,,492,63,39,6580,59,23,"syntheticmedia,grokai,aiart",treatment,True,617,0.09376899696048632
control_000683,user_3886,user_23166,1033,1855,2022-01-01,Synthetic control post #683,2025-01-02,en,True,photo,,507,85,47,7428,47,13,"digitalart,portrait",control,False,652,0.08777598276790523
treatment_000461,user_8414,user_50919,712,522,2022-01-01,Synthetic treatment post #461,2025-04-11,en,True,photo,,489,60,43,7318,66,30,"syntheticmedia,grokai",treatment,True,622,0.08499590051926756
control_000793,user_9504,user_47040,341,1370,2022-01-01,Synthetic control post #793,2025-01-18,en,True,photo,,85,34,10,2403,11,9,"artistsontwitter,portrait,digitalart",control,False,138,0.05742821473158552
treatment_000785,user_4782,user_95237,157,1107,2022-01-01,Synthetic treatment post #785,2025-01-12,en,True,photo,,607,145,45,10306,116,35,syntheticmedia,treatment,True,832,0.08072967203570736
treatment_000377,user_2065,user_66618,1183,149,2022-01-01,Synthetic treatment post #377,2025-04-08,en,True,photo,,220,183,29,9411,38,36,grokimage,treatment,True,468,0.04972904048453937
control_000671,user_1716,user_84671,615,1126,2022-01-01,Synthetic control post #671,2025-02-13,en,True,photo,,315,45,20,4058,17,7,"photography,portrait,artistsontwitter",control,False,387,0.09536717594874322
treatment_000126,user_5303,user_97076,1113,335,2022-01-01,Synthetic treatment post #126,2025-02-18,en,False,photo,,437,46,29,6361,81,26,"syntheticmedia,aigenerated,grokai",treatment,True,538,0.08457789655714511
control_000020,user_9693,user_19634,783,263,2022-01-01,Synthetic control post #20,2025-03-05,en,True,photo,,79,32,16,3518,42,16,artistsontwitter,control,False,143,0.04064809550881183
treatment_000567,user_8173,user_37314,177,568,2022-01-01,Synthetic treatment post #567,2025-04-02,en,True,photo,,972,365,87,21769,214,31,"aigenerated,syntheticmedia,grokai",treatment,True,1455,0.06683816436216639
treatment_000355,user_1869,user_15234,1000,1098,2022-01-01,Synthetic treatment post #355,2025-02-18,en,True,photo,,661,117,185,22353,328,36,"grokimage,aigenerated,grokai",treatment,True,999,0.04469198765266407
control_000745,user_5224,user_89292,190,255,2022-01-01,Synthetic control post #745,2025-01-04,en,True,photo,,188,93,40,4708,62,11,photography,control,False,332,0.07051826677994902
treatment_000209,user_7558,user_48272,185,1254,2022-01-01,Synthetic treatment post #209,2025-01-18,en,True,photo,,247,52,23,4052,45,14,aiart,treatment,True,336,0.08292201382033564
treatment_000140,user_8801,user_75510,1451,1984,2022-01-01,Synthetic treatment post #140,2025-04-11,en,False,photo,,1232,137,50,18273,244,57,grokimage,treatment,True,1476,0.08077491380725661
control_000688,user_4815,user_48919,667,459,2022-01-01,Synthetic control post #688,2025-02-28,en,False,photo,,475,76,38,6641,37,20,"artistsontwitter,digitalart,portrait",control,False,609,0.09170305676855896
control_000320,user_3282,user_18062,678,1673,2022-01-01,Synthetic control post #320,2025-04-23,en,False,photo,,541,96,39,7455,92,14,"portrait,digitalart,artistsontwitter",control,False,690,0.0925553319919517
control_000247,user_2288,user_51285,444,1228,2022-01-01,Synthetic control post #247,2025-01-18,en,False,photo,,179,61,16,3899,52,13,digitalart,control,False,269,0.06899204924339575
control_000646,user_8303,user_73552,90,161,2022-01-01,Synthetic control post #646,2025-04-25,en,True,photo,,143,116,55,6879,96,10,"portrait,digitalart,artistsontwitter",control,False,324,0.047099869167030094
control_000010,user_9803,user_68659,697,673,2022-01-01,Synthetic control post #10,2025-02-09,en,True,photo,,203,65,10,3496,16,6,"artistsontwitter,digitalart,portrait",control,False,284,0.08123569794050343
treatment_000588,user_1512,user_93664,317,1875,2022-01-01,Synthetic treatment post #588,2025-03-17,en,True,photo,,409,165,80,13556,41,66,"aigenerated,aiart",treatment,True,720,0.053113012688108585
control_000213,user_8390,user_46746,232,470,2022-01-01,Synthetic control post #213,2025-01-27,en,False,photo,,88,42,43,4352,45,19,"artistsontwitter,photography",control,False,192,0.04411764705882353
control_000099,user_5248,user_97359,405,1531,2022-01-01,Synthetic control post #99,2025-01-31,en,True,photo,,159,45,42,5572,42,27,"artistsontwitter,photography,portrait",control,False,273,0.048994974874371856
treatment_000010,user_7222,user_38574,231,1231,2022-01-01,Synthetic treatment post #10,2025-01-11,en,True,photo,,257,117,29,5986,49,28,"grokai,aiart",treatment,True,431,0.07200133645172069
control_000012,user_2888,user_53344,1319,620,2022-01-01,Synthetic control post #12,2025-02-04,en,True,photo,,111,16,4,1574,22,5,"digitalart,photography",control,False,136,0.08640406607369759
treatment_000282,user_4819,user_99739,321,1781,2022-01-01,Synthetic treatment post #282,2025-02-10,en,True,photo,,873,100,96,11780,58,36,"aigenerated,grokimage",treatment,True,1105,0.09380305602716468
treatment_000291,user_7754,user_88614,262,1819,2022-01-01,Synthetic treatment post #291,2025-01-07,en,True,photo,,359,81,35,7219,99,17,"grokimage,syntheticmedia,aigenerated",treatment,True,492,0.06815348386203075
treatment_000620,user_6519,user_57648,154,593,2022-01-01,Synthetic treatment post #620,2025-04-08,en,False,photo,,459,75,43,6679,37,22,"syntheticmedia,aigenerated,grokimage",treatment,True,599,0.08968408444377901
control_000089,user_7589,user_53290,873,1213,2022-01-01,Synthetic control post #89,2025-04-09,en,True,photo,,98,23,35,3554,49,13,digitalart,control,False,169,0.04755205402363534
treatment_000129,user_4921,user_13814,208,1538,2022-01-01,Synthetic treatment post #129,2025-02-12,en,True,photo,,434,90,79,10053,54,48,"grokai,aiart,grokimage",treatment,True,651,0.06475678901820352
treatment_000323,user_6451,user_73487,61,1155,2022-01-01,Synthetic treatment post #323,2025-03-09,en,True,photo,,240,53,38,4146,23,15,"grokai,syntheticmedia",treatment,True,346,0.08345393150024119
control_000049,user_5360,user_51264,459,1293,2022-01-01,Synthetic control post #49,2025-03-26,en,True,photo,,193,65,41,5713,71,27,"portrait,digitalart,photography",control,False,326,0.057062839138806234
treatment_000576,user_6375,user_26479,554,568,2022-01-01,Synthetic treatment post #576,2025-01-09,en,True,photo,,481,136,77,11037,102,35,syntheticmedia,treatment,True,729,0.06605055721663496
control_000615,user_5764,user_23831,1637,1368,2022-01-01,Synthetic control post #615,2025-01-21,en,True,photo,,649,135,62,8664,126,26,artistsontwitter,control,False,872,0.10064635272391505
control_000790,user_5581,user_50630,476,480,2022-01-01,Synthetic control post #790,2025-04-06,en,True,photo,,604,81,24,8428,82,20,"digitalart,photography,artistsontwitter",control,False,729,0.08649738965353583
treatment_000597,user_3737,user_63853,1109,878,2022-01-01,Synthetic treatment post #597,2025-03-03,en,True,photo,,1123,138,101,18344,59,70,"grokai,aigenerated",treatment,True,1432,0.07806367204535543
treatment_000741,user_4339,user_97701,514,1974,2022-01-01,Synthetic treatment post #741,2025-04-15,en,True,photo,,349,26,40,4581,20,22,grokai,treatment,True,437,0.09539401877319363
control_000747,user_9650,user_28438,453,1806,2022-01-01,Synthetic control post #747,2025-04-03,en,True,photo,,296,77,25,4788,53,10,"artistsontwitter,digitalart",control,False,408,0.08521303258145363
treatment_000158,user_1407,user_44839,300,966,2022-01-01,Synthetic treatment post #158,2025-02-24,en,True,photo,,151,38,25,3245,29,11,"grokimage,syntheticmedia",treatment,True,225,0.06933744221879815
control_000749,user_2023,user_45443,158,847,2022-01-01,Synthetic control post #749,2025-03-17,en,True,photo,,245,72,63,8632,46,24,"digitalart,portrait",control,False,404,0.04680259499536608
treatment_000516,user_3674,user_98887,263,954,2022-01-01,Synthetic treatment post #516,2025-01-07,en,True,photo,,323,133,31,14496,211,47,"grokimage,grokai,syntheticmedia",treatment,True,534,0.03683774834437086
control_000340,user_2634,user_36866,707,1289,2022-01-01,Synthetic control post #340,2025-01-05,en,True,photo,,433,95,24,5763,65,19,"artistsontwitter,digitalart,photography",control,False,571,0.09908034010064203
treatment_000195,user_7097,user_24151,440,1783,2022-01-01,Synthetic treatment post #195,2025-02-12,en,False,photo,,613,59,43,7990,110,38,"syntheticmedia,grokai",treatment,True,753,0.09424280350438048
control_000520,user_5609,user_59508,603,1279,2022-01-01,Synthetic control post #520,2025-01-24,en,True,photo,,211,34,18,4125,41,9,"photography,artistsontwitter",control,False,272,0.06593939393939394
control_000114,user_6125,user_45077,580,1217,2022-01-01,Synthetic control post #114,2025-02-02,en,True,photo,,340,58,42,6878,38,15,"portrait,digitalart",control,False,455,0.06615295143937192
treatment_000410,user_4372,user_38090,133,1145,2022-01-01,Synthetic treatment post #410,2025-02-04,en,True,photo,,835,80,50,11214,79,54,"syntheticmedia,aigenerated",treatment,True,1019,0.09086855716069199
treatment_000096,user_9252,user_81520,580,607,2022-01-01,Synthetic treatment post #96,2025-04-01,en,True,photo,,1189,333,53,17208,95,74,syntheticmedia,treatment,True,1649,0.0958275220827522
control_000535,user_1516,user_92350,217,1962,2022-01-01,Synthetic control post #535,2025-02-14,en,True,photo,,166,57,43,5870,62,6,"artistsontwitter,photography,portrait",control,False,272,0.04633730834752981
treatment_000680,user_6006,user_56175,1252,777,2022-01-01,Synthetic treatment post #680,2025-04-17,en,True,photo,,772,284,119,15695,138,31,"aigenerated,syntheticmedia,grokimage",treatment,True,1206,0.07683975788467665
treatment_000156,user_2818,user_43860,156,545,2022-01-01,Synthetic treatment post #156,2025-01-23,en,True,photo,,587,100,56,9183,49,24,syntheticmedia,treatment,True,767,0.08352390286398781
treatment_000419,user_4700,user_33498,502,1604,2022-01-01,Synthetic treatment post #419,2025-03-02,en,True,photo,,752,145,104,12955,55,40,"aiart,syntheticmedia,aigenerated",treatment,True,1041,0.08035507526051718
control_000703,user_7871,user_22956,416,1451,2022-01-01,Synthetic control post #703,2025-01-09,en,False,photo,,117,47,31,5235,29,22,"digitalart,portrait",control,False,217,0.04145176695319962
treatment_000477,user_6894,user_84940,705,945,2022-01-01,Synthetic treatment post #477,2025-02-20,en,True,photo,,538,109,90,13799,151,67,grokai,treatment,True,804,0.05826509167330966
control_000757,user_7849,user_88690,307,1180,2022-01-01,Synthetic control post #757,2025-04-26,en,True,photo,,85,41,13,3299,30,8,"portrait,photography,artistsontwitter",control,False,147,0.04455895725977569
treatment_000727,user_6541,user_87853,443,854,2022-01-01,Synthetic treatment post #727,2025-02-01,en,True,photo,,357,55,100,10635,129,51,"aiart,grokimage",treatment,True,563,0.052938410907381286
control_000278,user_7743,user_50712,584,302,2022-01-01,Synthetic control post #278,2025-03-26,en,False,photo,,338,39,12,4373,32,9,"artistsontwitter,portrait",control,False,398,0.09101303453007088
treatment_000447,user_1378,user_75305,861,899,2022-01-01,Synthetic treatment post #447,2025-02-03,en,True,photo,,286,169,60,9354,62,30,"aigenerated,grokimage",treatment,True,545,0.05826384434466538
control_000356,user_1694,user_68023,359,1682,2022-01-01,Synthetic control post #356,2025-02-07,en,True,photo,,356,76,36,5704,72,15,"digitalart,portrait,artistsontwitter",control,False,483,0.0846774193548387
treatment_000178,user_5265,user_22487,293,1551,2022-01-01,Synthetic treatment post #178,2025-04-07,en,True,photo,,503,319,80,16771,58,28,"grokimage,aigenerated,syntheticmedia",treatment,True,930,0.05545286506469501
treatment_000390,user_3485,user_64322,356,392,2022-01-01,Synthetic treatment post #390,2025-02-16,en,True,photo,,169,32,33,3877,21,5,syntheticmedia,treatment,True,239,0.061645602269796235
treatment_000578,user_6312,user_99247,1347,129,2022-01-01,Synthetic treatment post #578,2025-02-11,en,True,photo,,576,171,64,10573,105,13,grokimage,treatment,True,824,0.07793436110848387
control_000573,user_9266,user_88644,474,56,2022-01-01,Synthetic control post #573,2025-04-03,en,True,photo,,210,20,15,3440,47,11,"photography,artistsontwitter,portrait",control,False,256,0.07441860465116279
